LP DANIEL PEMBERTON, BABY ROSE & JAPANESE BREAKFAST Materialists (Original Soundtrack) (Iridescent White Vinyl w/ Blue)	Secretly Distribution	1	Daniel Pemberton, Baby Rose & Japanese Breakfast	Materialists (Original Soundtrack)	LP	Iridescent White Vinyl w/ Blue	1	810180991131		147	0.50	0.2268	0.2268	$146.31		release/35147071	810180991131
2XLP DANIEL LOPATIN Marty Supreme (Original Soundtrack) (Clear Vinyl)	Secretly Distribution	2	Daniel Lopatin	Marty Supreme (Original Soundtrack)	2xLP	Clear Vinyl	1	617308017083			1.00	0.4536	0.4536			release/36763195	617308017083
CD SUFJAN STEVENS Illinois	Secretly Distribution	3	Sufjan Stevens	Illinois	CD		2	656605892627			0.25	0.1134	0.2268			release/32084244	656605892627
2XLP SUFJAN STEVENS Illinois	Secretly Distribution	4	Sufjan Stevens	Illinois	2xLP		1	656605892610			1.00	0.4536	0.4536			release/16331040	656605892610
CD THEE MARLOES Di Hotel Malibu	Secretly Distribution	5	Thee Marloes	Di Hotel Malibu	CD		4	349223020229			0.25	0.1134	0.4536				349223020229
LP THEE MARLOES Di Hotel Malibu	Secretly Distribution	6	Thee Marloes	Di Hotel Malibu	LP		1	349223020212			0.50	0.2268	0.2268			release/37385886	349223020212
LP THEE MARLOES Di Hotel Malibu (Indie Exclusive Clear Emerald Vinyl)	Secretly Distribution	7	Thee Marloes	Di Hotel Malibu	LP	Indie Exclusive Clear Emerald Vinyl	1	349223020267			0.50	0.2268	0.2268			release/37385163	349223020267
CD POWDER Powder In Space	Secretly Distribution	8	Powder	Powder In Space	CD		2	700064953129			0.25	0.1134	0.2268			release/13289319	700064953129
12" POWDER Powder In Space	Secretly Distribution	9	Powder	Powder In Space	12"		2	747742391088			0.45	0.2041	0.4082			release/13195142	747742391088
CD WILD NOTHING Gemini	Secretly Distribution	10	Wild Nothing	Gemini	CD		1	817949016821			0.25	0.1134	0.1134			release/2304548	817949016821
CASSETTE WILD NOTHING Nocturne	Secretly Distribution	11	Wild Nothing	Nocturne	Cassette		3	817949015237			0.15	0.0680	0.2041			release/6241687	817949015237
CD MAC DEMARCO Salad Days	Secretly Distribution	12	Mac DeMarco	Salad Days	CD		2	817949019488			0.25	0.1134	0.2268			release/9800884	817949019488
CD MAC DEMARCO This Old Dog	Secretly Distribution	13	Mac DeMarco	This Old Dog	CD		2	817949013165			0.25	0.1134	0.2268			release/10302361	817949013165
CD WILD NOTHING Indigo	Secretly Distribution	14	Wild Nothing	Indigo	CD		1	817949014971			0.25	0.1134	0.1134			release/12505728	817949014971
CASSETTE LCD SOUNDSYSTEM American Dream	Secretly Distribution	15	LCD Soundsystem	American Dream	Cassette		5	829732256642			0.15	0.0680	0.3402			release/10886192	829732256642
12" RIP MAGIC 5words (12" Single)	Secretly Distribution	16	RIP Magic	5words	12"	12" Single	2	829732000894			0.45	0.2041	0.4082				829732000894
CASSETTE MJ LENDERMAN Manning Fireworks	Secretly Distribution	17	MJ Lenderman	Manning Fireworks	Cassette		2	617308081022			0.15	0.0680	0.1361			release/31718669	617308081022
CD DESTROYER Kaputt	Secretly Distribution	18	Destroyer	Kaputt	CD		2	656605134628			0.25	0.1134	0.2268			release/13547219	656605134628
LP DESTROYER Kaputt	Secretly Distribution	19	Destroyer	Kaputt	LP		1	656605134611			0.50	0.2268	0.2268			release/20875921	656605134611
CD SLOWDIVE Slowdive	Secretly Distribution	20	Slowdive	Slowdive	CD		1	656605143224			0.25	0.1134	0.1134			release/37375077	656605143224
LP SLOWDIVE Slowdive	Secretly Distribution	21	Slowdive	Slowdive	LP		2	656605143217			0.50	0.2268	0.4536			release/21004720	656605143217
CD PHOEBE BRIDGERS Stranger In The Alps	Secretly Distribution	22	Phoebe Bridgers	Stranger In The Alps	CD		2	656605144221			0.25	0.1134	0.2268			release/14850454	656605144221
CASSETTE MITSKI Be The Cowboy	Secretly Distribution	23	Mitski	Be The Cowboy	Cassette		1	656605346472			0.15	0.0680	0.0680			release/24253577	656605346472
CD MITSKI Be The Cowboy	Secretly Distribution	24	Mitski	Be The Cowboy	CD		2	656605145020			0.25	0.1134	0.2268			release/33363914	656605145020
CASSETTE PHOEBE BRIDGERS Punisher (Fluorescent Green Cassette)	Secretly Distribution	25	Phoebe Bridgers	Punisher	Cassette	Fluorescent Green Cassette	2	656605373195			0.15	0.0680	0.1361			release/17092467	656605373195
CD PHOEBE BRIDGERS Punisher	Secretly Distribution	26	Phoebe Bridgers	Punisher	CD		2	656605150024			0.25	0.1134	0.2268			release/15497734	656605150024
LP PHOEBE BRIDGERS Punisher	Secretly Distribution	27	Phoebe Bridgers	Punisher	LP		1	656605150017			0.50	0.2268	0.2268			release/35268361	656605150017
CD SLOWDIVE everything is alive	Secretly Distribution	28	Slowdive	everything is alive	CD		3	656605153223			0.25	0.1134	0.3402			release/28131169	656605153223
LP SLOWDIVE everything is alive	Secretly Distribution	29	Slowdive	everything is alive	LP		2	656605153216			0.50	0.2268	0.4536			release/31316622	656605153216
CD BRIGHT EYES The People's Key	Secretly Distribution	30	Bright Eyes	The People's Key	CD		2	656605159829			0.25	0.1134	0.2268			release/27345591	656605159829
CD TORO Y MOI MAHAL	Secretly Distribution	31	Toro y Moi	MAHAL	CD		2	656605160122			0.25	0.1134	0.2268			release/23043470	656605160122
LP TORO Y MOI MAHAL	Secretly Distribution	32	Toro y Moi	MAHAL	LP		1	656605160115			0.50	0.2268	0.2268			release/23120453	656605160115
CASSETTE MITSKI The Land Is Inhospitable and So Are We	Secretly Distribution	33	Mitski	The Land Is Inhospitable and So Are We	Cassette		2	656605165080			0.15	0.0680	0.1361			release/28273900	656605165080
CD MITSKI The Land Is Inhospitable and So Are We	Secretly Distribution	34	Mitski	The Land Is Inhospitable and So Are We	CD		2	656605165028			0.25	0.1134	0.2268			release/28269094	656605165028
LP MITSKI The Land Is Inhospitable and So Are We	Secretly Distribution	35	Mitski	The Land Is Inhospitable and So Are We	LP		1	656605165011			0.50	0.2268	0.2268			release/28269031	656605165011
CD KHRUANGBIN A LA SALA	Secretly Distribution	36	Khruangbin	A LA SALA	CD		2	656605165721			0.25	0.1134	0.2268			release/30292349	656605165721
CD AVALON EMERSON & THE CHARM Written into Changes	Secretly Distribution	37	Avalon Emerson & the Charm	Written into Changes	CD		5	656605166926			0.25	0.1134	0.5670			release/35416228	656605166926
LP AVALON EMERSON & THE CHARM Written into Changes (Transparent Red Vinyl)	Secretly Distribution	38	Avalon Emerson & the Charm	Written into Changes	LP	Transparent Red Vinyl	5	656605166933			0.50	0.2268	1.1340			release/36833182	656605166933
CASSETTE GREG MENDEZ Beauty Land	Secretly Distribution	39	Greg Mendez	Beauty Land	Cassette		1	656605167374			0.15	0.0680	0.0680				656605167374
CD GREG MENDEZ Beauty Land	Secretly Distribution	40	Greg Mendez	Beauty Land	CD		1	656605167329			0.25	0.1134	0.1134				656605167329
CD WEDNESDAY Bleeds	Secretly Distribution	41	Wednesday	Bleeds	CD		2	656605172828			0.25	0.1134	0.2268			release/35148556	656605172828
CD JULIE BYRNE The Greater Wings	Secretly Distribution	42	Julie Byrne	The Greater Wings	CD		2	804297841625			0.25	0.1134	0.2268			release/27740166	804297841625
CD BULLION Affection	Secretly Distribution	43	Bullion	Affection	CD		2	804297842929			0.25	0.1134	0.2268			release/30863562	804297842929
LP BULLION Affection	Secretly Distribution	44	Bullion	Affection	LP		2	804297842912			0.50	0.2268	0.4536			release/31022296	804297842912
CASSETTE GINGER ROOT SHINBANGUMI	Secretly Distribution	45	Ginger Root	SHINBANGUMI	Cassette		1	804297844374			0.15	0.0680	0.0680			release/31721624	804297844374
CD GINGER ROOT SHINBANGUMI	Secretly Distribution	46	Ginger Root	SHINBANGUMI	CD		2	804297844329			0.25	0.1134	0.2268			release/31721621	804297844329
2XCASSETTE C418 Minecraft: Alpha + Beta	Secretly Distribution	47	C418	Minecraft: Alpha + Beta	2xCassette		2	804297844435			0.25	0.1134	0.2268			release/34255783	804297844435
CD BON IVER For Emma, Forever Ago	Secretly Distribution	48	Bon Iver	For Emma, Forever Ago	CD		2	656605211527			0.25	0.1134	0.2268			release/6314659	656605211527
CD BON IVER Bon Iver, Bon Iver	Secretly Distribution	49	Bon Iver	Bon Iver, Bon Iver	CD		3	656605213521			0.25	0.1134	0.3402			release/5298647	656605213521
LP BON IVER Bon Iver	Secretly Distribution	50	Bon Iver	Bon Iver	LP		1	656605213514			0.50	0.2268	0.2268			release/4991248	656605213514
CD SHARON VAN ETTEN Tramp	Secretly Distribution	51	Sharon Van Etten	Tramp	CD		2	656605220123			0.25	0.1134	0.2268			release/12881220	656605220123
LP SHARON VAN ETTEN Tramp	Secretly Distribution	52	Sharon Van Etten	Tramp	LP		1	656605220116			0.50	0.2268	0.2268			release/5744557	656605220116
CD UNKNOWN MORTAL ORCHESTRA II	Secretly Distribution	53	Unknown Mortal Orchestra	II	CD		2	656605223223			0.25	0.1134	0.2268			release/4244724	656605223223
2XLP UNKNOWN MORTAL ORCHESTRA II (10 Year Anniversary Reissue) (Aluminum Vinyl)	Secretly Distribution	54	Unknown Mortal Orchestra	II (10 Year Anniversary Reissue)	2xLP	Aluminum Vinyl	2	617308056426			1.00	0.4536	0.9072			release/28974124	617308056426
CD BON IVER 22, A Million	Secretly Distribution	55	Bon Iver	22, A Million	CD		2	656605230023			0.25	0.1134	0.2268			release/23439614	656605230023
LP BON IVER 22, A Million	Secretly Distribution	56	Bon Iver	22, A Million	LP		1	656605230016			0.50	0.2268	0.2268			release/11161490	656605230016
CD BON IVER i,i	Secretly Distribution	57	Bon Iver	i,i	CD		3	656605235028			0.25	0.1134	0.3402			release/14935201	656605235028
LP BON IVER i,i	Secretly Distribution	58	Bon Iver	i,i	LP		1	656605235011			0.50	0.2268	0.2268			release/14538846	656605235011
CD BON IVER VOLUMES: ONE (Selections From Music Concerts 2019-2023 Bon Iver 6 Piece Band)	Secretly Distribution	59	Bon Iver	VOLUMES: ONE (Selections From Music Concerts 2019-2023 Bon Iver 6 Piece Band)	CD		2	656605248523			0.25	0.1134	0.2268			release/36953676	656605248523
LP THE SOFTIES Winter Pageant	Secretly Distribution	60	The Softies	Winter Pageant	LP		2	789856106110			0.50	0.2268	0.4536			release/31094453	789856106110
LP THE SOFTIES Holiday In Rhode Island	Secretly Distribution	61	The Softies	Holiday In Rhode Island	LP		2	789856111916			0.50	0.2268	0.4536			release/30481328	789856111916
CD ADRIAN YOUNGE Younge	Secretly Distribution	62	Adrian Younge	Younge	CD		2	617308035759			0.25	0.1134	0.2268			release/37293444	617308035759
CD MARIETTA Summer Death	Secretly Distribution	63	Marietta	Summer Death	CD		1	199438000598			0.25	0.1134	0.1134			release/35305561	199438000598
CD DESTROYER Dan's Boogie	Secretly Distribution	64	Destroyer	Dan's Boogie	CD		2	673855086927			0.25	0.1134	0.2268			release/33552279	673855086927
CD ROSTAM American Stories	Secretly Distribution	65	Rostam	American Stories	CD		2	617308041675			0.25	0.1134	0.2268			release/37364082	617308041675
LP ROSTAM American Stories (Sumac Vinyl)	Secretly Distribution	66	Rostam	American Stories	LP	Sumac Vinyl	1	617308034660			0.50	0.2268	0.2268			release/37369677	617308034660
CASSETTE TURNOVER Peripheral Vision (Green Shell Cassette)	Secretly Distribution	67	Turnover	Peripheral Vision	Cassette	Green Shell Cassette	2	810097919662			0.15	0.0680	0.1361			release/33587376	810097919662
CD TURNOVER Peripheral Vision	Secretly Distribution	68	Turnover	Peripheral Vision	CD		2	811774021821			0.25	0.1134	0.2268			release/16722204	811774021821
CD BASEMENT WIRED	Secretly Distribution	69	Basement	WIRED	CD		2	199438001731			0.25	0.1134	0.2268			master/4213749	199438001731
CASSETTE MF DOOM Operation: Doomsday	Secretly Distribution	70	MF DOOM	Operation: Doomsday	Cassette		2	826257035240			0.15	0.0680	0.1361			release/37227219	826257035240
CD MF DOOM MM..FOOD (20th Anniversary Edition)	Secretly Distribution	71	MF DOOM	MM..FOOD (20th Anniversary Edition)	CD		2	826257040022			0.25	0.1134	0.2268			release/33576582	826257040022
CD YEAH YEAH YEAHS Cool It Down	Secretly Distribution	72	Yeah Yeah Yeahs	Cool It Down	CD		3	656605047027			0.25	0.1134	0.3402			release/24675509	656605047027
LP YEAH YEAH YEAHS Cool It Down	Secretly Distribution	73	Yeah Yeah Yeahs	Cool It Down	LP		1	656605047010			0.50	0.2268	0.2268			release/31800884	656605047010
CD HATCHIE Liquorice	Secretly Distribution	74	Hatchie	Liquorice	CD		2	656605050324			0.25	0.1134	0.2268			release/35838313	656605050324
LP HATCHIE Liquorice	Secretly Distribution	75	Hatchie	Liquorice	LP		1	656605050317			0.50	0.2268	0.2268			release/35652184	656605050317
LP HATCHIE Liquorice (Lipstick Red Vinyl)	Secretly Distribution	76	Hatchie	Liquorice	LP	Lipstick Red Vinyl	1	656605050331			0.50	0.2268	0.2268			release/35597014	656605050331
2XLP 180G POND The Early Years: 2008 - 2010 (Mango Vinyl)	Secretly Distribution	77	POND	The Early Years: 2008 - 2010	2xLP 180g	Mango Vinyl	1	612789326273			1.15	0.5216	0.5216			release/33672309	612789326273
CD SUFJAN STEVENS The Age of Adz	Secretly Distribution	81	Sufjan Stevens	The Age of Adz	CD		1	656605607726			0.25	0.1134	0.1134			master/281160	656605607726
CD THEE MARLOES Perak	Secretly Distribution	82	Thee Marloes	Perak	CD		2	349223017922			0.25	0.1134	0.2268			release/31440071	349223017922
LP GORILLAZ Mountain	Alliance Entertainment (WebAMI)	1	Gorillaz	Mountain	LP		2		KSEX1.1	61	0.50	0.2268	0.4536	$179.16		release/36594097	199538697308
LP LOADED HONEY Love Made Trees	Alliance Entertainment (WebAMI)	2	Loaded Honey	Love Made Trees	LP		3		TTYP1.1		0.50	0.2268	0.6804			release/34807400	5056167181644
LP STONE ROSES Stone Roses	Alliance Entertainment (WebAMI)	3	Stone Roses	Stone Roses	LP		2		SNYL304199.1		0.50	0.2268	0.4536			release/5581078	888430419919
LP DIJON Baby	Alliance Entertainment (WebAMI)	4	Dijon	Baby	LP		5		WB728452.1		0.50	0.2268	1.1340			release/35706151	093624826972
LP JUST MUSTARD We Were Just Here Forever	Alliance Entertainment (WebAMI)	5	Just Mustard	We Were Just Here Forever	LP		1		PASN179613.1		0.50	0.2268	0.2268			release/2914755	110111112
LP LAST DINNER PARTY From The Pyre	Alliance Entertainment (WebAMI)	6	Last Dinner Party	From The Pyre	LP		2		ISL194689.1		0.50	0.2268	0.4536			release/35396587	602478597664
LP TAYLOR SWIFT The Life of a Showgirl	Alliance Entertainment (WebAMI)	7	Taylor Swift	The Life of a Showgirl	LP		3		RPBL207407.1		0.50	0.2268	0.6804			release/35238409	602478225260
LP OLIVIA DEAN The Art Of Loving	Alliance Entertainment (WebAMI)	8	Olivia Dean	The Art Of Loving	LP		5		ISL182769.1		0.50	0.2268	1.1340			release/35207368	00602478163326
LP SABRINA CARPENTER Man's Best Friend	Alliance Entertainment (WebAMI)	9	Sabrina Carpenter	Man's Best Friend	LP		1		ISL179911.1		0.50	0.2268	0.2268			release/34952588	602478322884
LP BLOOD ORANGE Essex Honey	Alliance Entertainment (WebAMI)	10	Blood Orange	Essex Honey	LP		2		RCA294496.1		0.50	0.2268	0.4536			release/34959245	198029449617
LP BILLIE EILISH Hit Me Hard And Soft	Alliance Entertainment (WebAMI)	11	Billie Eilish	Hit Me Hard And Soft	LP		2		ISC172098.1		0.50	0.2268	0.4536			release/30696067	602465270495
LP SLOWDIVE Souvlaki	Alliance Entertainment (WebAMI)	12	Slowdive	Souvlaki	LP		2		SNYL288605.1		0.50	0.2268	0.4536			release/3020028	8713748982256
LP LADY GAGA Mayhem	Alliance Entertainment (WebAMI)	13	Lady Gaga	Mayhem	LP		2		ISC169133.1		0.50	0.2268	0.4536			release/33324156	602475451150
LP SABRINA CARPENTER Short n' Sweet	Alliance Entertainment (WebAMI)	14	Sabrina Carpenter	Short n' Sweet	LP		1		ISL159350.1		0.50	0.2268	0.2268			release/31556044	602465869002
LP LAST DINNER PARTY Prelude to Ecstasy	Alliance Entertainment (WebAMI)	15	Last Dinner Party	Prelude to Ecstasy	LP		1		ISL141479.1		0.50	0.2268	0.2268			release/29648242	602458519044
LP BOYGENIUS the record	Alliance Entertainment (WebAMI)	16	boygenius	the record	LP		1		ISCB003733201.1		0.50	0.2268	0.2268			release/15507190	744861140894
LP THE STROKES The New Abnormal	Alliance Entertainment (WebAMI)	17	The Strokes	The New Abnormal	LP		2		RCA970588.1		0.50	0.2268	0.4536			release/15063478	194397058819
LP HARRY STYLES Fine Line	Alliance Entertainment (WebAMI)	18	Harry Styles	Fine Line	LP		2		CLBI397051.1		0.50	0.2268	0.4536			release/14525240	194397051612
LP TYLER, THE CREATOR IGOR	Alliance Entertainment (WebAMI)	19	Tyler, The Creator	IGOR	LP		2		CLBI596522.1		0.50	0.2268	0.4536			release/14215683	190759652213
LP AIR Moon Safari	Alliance Entertainment (WebAMI)	20	Air	Moon Safari	LP		2		RPLH666441.1		0.50	0.2268	0.4536			release/7175735	724384497811
LP TAYLOR SWIFT 1989	Alliance Entertainment (WebAMI)	21	Taylor Swift	1989	LP		2		BMCHBMRBD0500E.1		0.50	0.2268	0.4536			release/28638091	0602455542144
LP MGMT Oracular Spectacular	Alliance Entertainment (WebAMI)	22	MGMT	Oracular Spectacular	LP		2		SNYL304532.1		0.50	0.2268	0.4536			release/1304590	886971951219
LP MGMT Congratulations	Alliance Entertainment (WebAMI)	23	MGMT	Congratulations	LP		2		SNYL304533.1		0.50	0.2268	0.4536			release/5942237	888430453319
LP KODALINE In A Perfect World	Alliance Entertainment (WebAMI)	24	Kodaline	In A Perfect World	LP		1		SNUK3704761.1		0.50	0.2268	0.2268			release/4663580	888837047616
LP THE FLAMING LIPS Yoshimi Battles The Pink Robots	Alliance Entertainment (WebAMI)	25	The Flaming Lips	Yoshimi Battles The Pink Robots	LP		3		WB530200.1		0.50	0.2268	0.6804			release/623525	093624814115
LP KASABIAN Kasabian	Alliance Entertainment (WebAMI)	26	Kasabian	Kasabian	LP		1		IMT698857.1		0.50	0.2268	0.2268			release/460482	828766383812
LP TALKING HEADS Remain In Light	Alliance Entertainment (WebAMI)	27	Talking Heads	Remain In Light	LP		1		RHI70802.1		0.50	0.2268	0.2268			release/116491	07599260951
LP THE STROKES First Impressions Of Earth	Alliance Entertainment (WebAMI)	28	The Strokes	First Impressions Of Earth	LP		2		RCA73177.1		0.50	0.2268	0.4536			release/608680	828767317717
LP THE STROKES Is This It	Alliance Entertainment (WebAMI)	29	The Strokes	Is This It	LP		2		RCA68045.1		0.50	0.2268	0.4536			release/667892	078636804514
CD TAME IMPALA Innerspeaker	Alliance Entertainment (WebAMI)	30	Tame Impala	Innerspeaker	CD		2		MODU126.2		0.25	0.1134	0.2268			release/2302950	602527375380
CD SINGLE ALEX TURNER Submarine (6-Track)	Juno Records	1	Alex Turner	Submarine	CD Single	6-Track	2	RUG 398CD		77	0.20	0.0907	0.1814	€272.74		release/2776960	398
2XLP ONEOHTRIX POINT NEVER R Plus Seven (Gatefold + MP3 Download)	Juno Records	2	Oneohtrix Point Never	R Plus Seven	2xLP	Gatefold + MP3 Download	1	WARPLP 240			1.00	0.4536	0.4536			release/4663	240
LP 180G COCTEAU TWINS Heaven Or Las Vegas (Remastered) (180 Gram Audiophile)	Juno Records	3	Cocteau Twins	Heaven Or Las Vegas (Remastered)	LP 180g	180 Gram Audiophile	2	CAD 3420			0.55	0.2495	0.4990			release/5876465	3420
HEADPHONES AIAIAI AIAIAI Tracks Hi-Fi Headphones with One Button Mic	Juno Records	4	AIAIAI	AIAIAI Tracks Hi-Fi Headphones with One Button Mic	Headphones		1	AIAIAI 05601			1.20	0.5443	0.5443				05601
CD HARRY STYLES Harry Styles	Juno Records	5	Harry Styles	Harry Styles	CD		1	889854 36772			0.25	0.1134	0.1134			release/11117661	88985436772
2XLP ZERO 7 When It Falls (Heavyweight Vinyl)	Juno Records	6	Zero 7	When It Falls	2xLP	Heavyweight Vinyl	1	NEW 9271LP			1.00	0.4536	0.4536			release/13965784	9271
LP MY BLOODY VALENTINE Loveless (Reissue) (Gatefold Heavyweight + MP3 Download)	Juno Records	7	My Bloody Valentine	Loveless (Reissue)	LP	Gatefold Heavyweight + MP3 Download	1	REWIGLP 159			0.50	0.2268	0.2268			release/23029007	159
2XCD MY BLOODY VALENTINE Loveless (Reissue)	Juno Records	8	My Bloody Valentine	Loveless (Reissue)	2xCD		2	REWIGCD 159			0.45	0.2041	0.4082			release/18915661	159
CD HARRY STYLES Harry's House	Juno Records	9	Harry Styles	Harry's House	CD		1	196587 07272			0.25	0.1134	0.1134			release/23301476	19658707272
LP DIJON Absolutely (Brown Vinyl)	Juno Records	10	Dijon	Absolutely	LP	Brown Vinyl	2	009362 4876687			0.50	0.2268	0.4536			release/25022509	0093624876687
CD GEESE 3D Country	Juno Records	11	Geese	3D Country	CD		1	PTPS 10CD			0.25	0.1134	0.1134			release/27594987	10
LP OLIVIA DEAN Messy	Juno Records	12	Olivia Dean	Messy	LP		2	EMIV 2093			0.50	0.2268	0.4536			release/36672607	2093
12" BOSQ/KALETA Meji Meji	Juno Records	13	Bosq/Kaleta	Meji Meji	12"		1	BAC 010			0.45	0.2041	0.2041			release/27535338	010
CD+BLU-RAY AIR Moon Safari (25th Anniversary Edition) (Limited 2xCD + Blu-ray)	Juno Records	14	Air	Moon Safari (25th Anniversary Edition)	CD+Blu-ray	Limited 2xCD + Blu-ray	1	505419 7906770			0.50	0.2268	0.2268			release/30067852	5054197906770
HEADPHONES AIAIAI AIAIAI Tracks Headphones With One Button Mic (B-Stock)	Juno Records	15	AIAIAI	AIAIAI Tracks Headphones With One Button Mic	Headphones	B-Stock	1	AIAIAI 05601 (B-STOCK)			1.20	0.5443	0.5443				05601
CD CAMERON WINTER Heavy Metal	Juno Records	16	Cameron Winter	Heavy Metal	CD		1	PTPS 50CD			0.25	0.1134	0.1134			release/32564664	50
CD VEGYN/AIR Blue Moon Safari	Juno Records	17	Vegyn/Air	Blue Moon Safari	CD		2	289970 6			0.25	0.1134	0.2268			release/33833034	2899706
CD OLIVIA DEAN The Art Of Loving	Juno Records	18	Olivia Dean	The Art Of Loving	CD		5	781632 1			0.25	0.1134	0.5670			release/35211355	7816321
LP OLIVIA DEAN The Art Of Loving	Juno Records	19	Olivia Dean	The Art Of Loving	LP		2	781633 2			0.50	0.2268	0.4536			release/35207368	7816332
LP LOADED HONEY Love Made Trees (Die-Cut Sleeve)	Juno Records	20	Loaded Honey	Love Made Trees	LP	Die-Cut Sleeve	1	VET 001B			0.50	0.2268	0.2268			release/34807400	001
CD GEESE Getting Killed	Juno Records	21	Geese	Getting Killed	CD		5	PTPS 60CD			0.25	0.1134	0.5670			release/35208358	60
2XLP VARIOUS ARTISTS Oriental Rare Groove: Rare Funky Songs From The Arabic World	Juno Records	22	Various Artists	Oriental Rare Groove: Rare Funky Songs From The Arabic World	2xLP		1	343112 6			1.00	0.4536	0.4536				3431126
CD ROSALIA Lux	Juno Records	23	Rosalia	Lux	CD		2	198029 90922			0.25	0.1134	0.2268			release/35763109	19802990922
CD ONEOHTRIX POINT NEVER Tranquilizer	Juno Records	24	Oneohtrix Point Never	Tranquilizer	CD		1	WARPCD 411			0.25	0.1134	0.1134			release/35840320	411
LP LOADED HONEY Love Made Trees (Transparent Orange Marbled Vinyl, Die-Cut Sleeve)	Juno Records	25	Loaded Honey	Love Made Trees	LP	Transparent Orange Marbled Vinyl, Die-Cut Sleeve	1	VET 001			0.50	0.2268	0.2268			release/3772419	001
CD DAPHNI Butterfly	Juno Records	26	Daphni	Butterfly	CD		1	JIAOLONG 034CD			0.25	0.1134	0.1134			release/36559198	034
CD ROBYN Sexistential	Juno Records	27	Robyn	Sexistential	CD		2	YO 467CD			0.25	0.1134	0.2268			release/36903528	467
CASSETTE ROBYN Sexistential	Juno Records	28	Robyn	Sexistential	Cassette		1	YO 467MCE			0.15	0.0680	0.0680			release/36904896	467
LP FCUKERS O (Spot-Varnished Sleeve (Indie Exclusive))	Juno Records	29	Fcukers	O	LP	Spot-Varnished Sleeve (Indie Exclusive)	1	ZEN 324N			0.50	0.2268	0.2268			release/36912588	324
CD FCUKERS O	Juno Records	30	Fcukers	O	CD		2	ZENCD 324			0.25	0.1134	0.2268			release/36855622	324
CD HARRY STYLES Kiss All The Time Disco Occasionally	Juno Records	31	Harry Styles	Kiss All The Time Disco Occasionally	CD		3	199584 17732			0.25	0.1134	0.3402			release/36834049	19958417732
LP HARRY STYLES Kiss All The Time Disco Occasionally (Gatefold Neptune Vinyl + Booklet)	Juno Records	32	Harry Styles	Kiss All The Time Disco Occasionally	LP	Gatefold Neptune Vinyl + Booklet	2	199584 33991			0.50	0.2268	0.4536			release/36695113	19958433991
CD KANGDING RAY Sirat (Soundtrack)	Juno Records	33	Kangding Ray	Sirat (Soundtrack)	CD		1	INV 345CD			0.25	0.1134	0.1134			release/36811408	345
LP AVALON EMERSON & THE CHARM Written Into Changes (Limited Translucent Red Vinyl)	Juno Records	34	Avalon Emerson & The Charm	Written Into Changes	LP	Limited Translucent Red Vinyl	2	DOC 369LPC1			0.50	0.2268	0.4536			release/36833182	3691
CD AVALON EMERSON & THE CHARM Written Into Changes	Juno Records	35	Avalon Emerson & The Charm	Written Into Changes	CD		2	DOC 369CD			0.25	0.1134	0.2268			release/35416228	369
2XLP VARIOUS ARTISTS Help (2) (Gatefold + 1-Sided 7")	Juno Records	36	Various Artists	Help (2)	2xLP	Gatefold + 1-Sided 7"	2	WARCHILD 16LP			1.00	0.4536	0.9072			release/36685252	16
2XCD VARIOUS ARTISTS Help (2) (Unmixed)	Juno Records	37	Various Artists	Help (2)	2xCD	Unmixed	3	WARCHILD 16CD			0.45	0.2041	0.6123			release/36694906	16
CD JAMES BLAKE Trying Times	Juno Records	38	James Blake	Trying Times	CD		2	870483 4653			0.25	0.1134	0.2268			release/36759655	8704834653
2XLP JAMES BLAKE Trying Times (Gatefold)	Juno Records	39	James Blake	Trying Times	2xLP	Gatefold	1	870483 4592			1.00	0.4536	0.4536			release/36762250	8704834592
2XLP JAMES BLAKE Trying Times (Gatefold White Vinyl (Indie Exclusive))	Juno Records	40	James Blake	Trying Times	2xLP	Gatefold White Vinyl (Indie Exclusive)	1	870483 4639			1.00	0.4536	0.4536			release/36766081	8704834639
LP YE (KANYE WEST) Bully	Juno Records	41	Ye (Kanye West)	Bully	LP		2	YZYGAMMA 001			0.50	0.2268	0.4536			release/36869749	001
CD YE (KANYE WEST) Bully	Juno Records	42	Ye (Kanye West)	Bully	CD		3	YZYGAMMA 002CD			0.25	0.1134	0.3402			release/31774307	002
CASSETTE YE (KANYE WEST) Bully	Juno Records	43	Ye (Kanye West)	Bully	Cassette		2	YZYGAMMA 003			0.15	0.0680	0.1361			release/36930813	003
CD A$AP ROCKY Don't Be Dumb	Juno Records	44	A$AP Rocky	Don't Be Dumb	CD		1	199584 310824CD			0.25	0.1134	0.1134			release/37020267	199584310824
12" VICK LAVENDER The Esthetic EP (Limited)	Juno Records	45	Vick Lavender	The Esthetic EP	12"	Limited	1	CAT 015			0.45	0.2041	0.2041			release/36821377	015
7" MALEET Caridad (Yellow Vinyl)	Juno Records	46	Maleet	Caridad	7"	Yellow Vinyl	1	PTF 010Y			0.20	0.0907	0.0907			release/36891571	010
